SkillId	Name	RecoveryValue	Notes
22	Heavy Shot	0	
23	Gain Life	0	
24	Mind Assault	0	
25	Gain Magic	0	
26	Raging Ache	0	
27	Mind Ache	0	
28	Temper	0	
29	Crimson Pain	0	
30	Instill	0	
31	Phantom Pain	0	
32	Paralysis Pulse	0	
34	Numbing Claw	0	
35	Dulling Impact	0	
37	Snake Venom	0	
40	Ward	0	
41	Siphon Soul	0	
42	Reflect Magic	0	
43	Reflect Damage	0	
44	Absorb Magic	0	
45	Absorb Damage	0	
46	Impact Guard	0	
47	Windbreak	0	
48	Fireproof	0	
49	Terra Ward	0	
50	Aqua Ward	0	
51	Shadow Guard	0	
52	Demonscale	0	
53	Phantom Shield	0	
141	Stun Blast	1	
143	Tidal Rush	1	
144	Blasphemous Howl	0	
145	Tail Attack	0	
146	Tail Attack	0	
147	Fire Breath	2	
148	Fire Breath	1	
149	Acid Breath	1	
151	Acid Breath	2	
152	Rot Breath	1	
153	Caeser's Thrust	0	
154	Thermal Breath	1	
155	Thunder Breath	1	
156	Heaven's Tear	0	
157	Searing Breath	1	
158	Tyrant's Mace	0	
159	Frost Breath	1	
160	Raven Eye	0	
161	Divine Breath	1	
162	Poison Breath	1	
163	Mind Blast	1	
164	Mind Blast	1	
165	Numbing Hook	1	
167	Numbing Needle	0	
168	Bloodsuck	1	
169	Acid Sneeze	1	
170	Spiral Shell	1	
171	Granite Punch	1	
172	Devitalize	0	
173	Poltergeist	1	
174	Reaper's Scythe	1	
177	Giga Rush	2	
178	Aqua Bubble	1	
179	Poison Sneeze	1	
180	Acrid Ooze	1	
181	Bloody Sin	1	
182	Last Ascension	1	
